posteam,plays,avg_epa,success_rate,avg_yards_gained,total_touchdowns,turnovers
ARI,1369,0.06276990786152174,50.770359501100515,4.549253731343284,44.0,21.0
ATL,1421,0.01140016758104664,50.212464589235125,4.506446991404012,42.0,25.0
BAL,1398,0.14005626208953406,51.40388768898488,5.260043827611395,63.0,11.0
BUF,1378,0.13575046954381337,50.0,4.537147102526003,63.0,9.0
CAR,1353,-0.03923057976608156,46.02230483271376,3.8220211161387634,42.0,23.0
CHI,1427,-0.05115121751314605,43.40155257586451,3.447142857142857,33.0,15.0
CIN,1426,0.08971625801273314,50.847457627118644,4.446351931330472,58.0,21.0
CLE,1471,-0.15061744016889528,40.59945504087194,3.5435684647302903,31.0,32.0
DAL,1478,-0.04503929624967055,45.20734194425561,3.851313969571231,33.0,28.0
DEN,1389,0.025799633228253304,46.96092619392186,4.054371785451874,42.0,20.0
DET,1425,0.1395642290654919,53.14487632508834,4.995695839311335,69.0,15.0
GB,1364,0.07224715788386331,48.48931466470155,4.722305389221557,54.0,20.0
HOU,1406,-0.01229204453364587,43.9513242662849,3.9327062228654124,35.0,20.0
IND,1376,-0.03593777039164114,45.47445255474452,4.2209043736100815,42.0,29.0
JAX,1305,0.006728423779876171,46.07692307692307,4.063912704598597,32.0,24.0
KC,1405,0.053053195525746236,50.21551724137932,4.050909090909091,41.0,15.0
LA,1355,0.01748039421451996,49.44320712694877,4.235338345864662,37.0,15.0
LAC,1352,0.03971611454158113,45.83333333333333,4.179545454545455,40.0,8.0
LV,1403,-0.10660982871156265,45.200573065902574,3.745824255628177,32.0,29.0
MIA,1408,-0.014734199722423407,48.031496062992126,4.014503263234228,36.0,20.0
MIN,1402,0.022886253322648223,48.487031700288185,4.298833819241983,45.0,21.0
NE,1380,-0.06434961401759551,46.934306569343065,3.6792592592592595,32.0,24.0
NO,1369,-0.05051564542282082,43.93828067597355,4.044576523031203,39.0,17.0
NYG,1413,-0.08288747179105063,44.38920454545455,3.609071274298056,35.0,23.0
NYJ,1339,-0.004300896350247225,46.43660915228807,4.025133282559025,42.0,18.0
PHI,1441,0.08007820985806444,47.34265734265734,4.440653873489694,55.0,14.0
PIT,1422,0.006432311873018776,45.963172804532576,3.8980617372577173,37.0,20.0
SEA,1401,-0.009603738811105246,47.52333094041637,4.118891320204231,41.0,22.0
SF,1358,0.023533555704212745,48.70274277242402,4.81339352896915,40.0,26.0
TB,1426,0.10201838183605051,51.90677966101694,4.857040743388135,58.0,25.0
TEN,1384,-0.08962231216025722,44.08133623819898,3.804555473916238,40.0,33.0
WAS,1442,0.11652287332993579,51.43056524773203,4.452937013446568,54.0,14.0
